id,step-name,prev-step-id,gif-id,gen-model,result_code,result_path,error_message,createAt,token-usage,visualization_path
27a529e2-c4c5-47dd-8216-971940f4b77c,code,68278ede-af4a-4e22-b2b2-3606d4a2f977,free-im-free,o4-mini,1,results/code_o4-mini_202507310655/27a529e2-c4c5-47dd-8216-971940f4b77c.jsonl,,2025-07-31T07:00:19+00:00,"""""",
9eb2a926-f89a-4daa-852e-e08f01c7be08,code,68278ede-af4a-4e22-b2b2-3606d4a2f977,free-im-free,o4-mini,1,results/code_o4-mini_202507310655/9eb2a926-f89a-4daa-852e-e08f01c7be08.jsonl,,2025-07-31T07:42:46+00:00,"""""",
ac174b3f-95d0-4154-beb1-83e60fc495f0,code,8db889f4-c9ac-47f9-9cd4-91b0cc1bde9a,free-im-free,o4-mini,1,results/code_o4-mini_202507310655/ac174b3f-95d0-4154-beb1-83e60fc495f0.jsonl,,2025-07-31T07:43:02+00:00,"""""",
